phi the  : 1274
of horror  : 1
horror .  : 4
as he  : 261
had lifted  : 2
lifted the  : 6
the maiden  : 46
maiden on  : 1
on to  : 46
to his  : 137
his horse  : 25
horse the  : 1
woman showed  : 1
showed him  : 11
him the  : 38
way ,  : 69
king reached  : 2
reached his  : 4
his palace  : 2
palace ,  : 28
, where  : 120
where the  : 104
the wedding  : 19
wedding was  : 7
was celebrated  : 4
celebrated .  : 1
king had  : 25
had already  : 14
already been  : 5
been married  : 2
married once  : 1
once ,  : 39
had by  : 1
by his  : 39
his first  : 11
first wife  : 2
wife seven  : 1
seven children  : 1
children ,  : 31
, six  : 4
six boys  : 1
boys and  : 2
and one  : 23
one girl  : 1
girl ,  : 40
, whom  : 10
whom he  : 15
he loved  : 8
loved more  : 1
than anything  : 6
anything in  : 3
phi and  : 484
and now  : 54
now ,  : 129
, because  : 78
because he  : 49
was afraid  : 16
afraid that  : 5
that their  : 4
their stepmother  : 1
stepmother might  : 1
might not  : 11
not treat  : 1
treat them  : 1
them well  : 1
well and  : 13
and might  : 6
might do  : 3
do them  : 2
them harm  : 2
harm ,  : 4
, he  : 400
he put  : 21
put them  : 10
them in  : 21
a lonely  : 4
lonely castle  : 1
castle that  : 1
that stood  : 5
stood in  : 8
the middle  : 48
middle of  : 38
of a  : 265
a wood  : 10
it lay  : 3
lay so  : 1
so hidden  : 1
hidden ,  : 6
way to  : 28
was so  : 99
so hard  : 10
hard to  : 16
to find  : 53
find ,  : 4
he himself  : 12
himself could  : 2
not have  : 29
have found  : 8
found it  : 22
out had  : 1
a wise-woman  : 1
wise-woman given  : 1
given him  : 9
him a  : 51
a reel  : 1
reel of  : 1
of thread  : 1
thread which  : 1
which possessed  : 1
possessed a  : 5
a marvellous  : 1
marvellous property  : 1
property :  : 1
: when  : 1
when he  : 247
he threw  : 17
threw it  : 11
it before  : 4
before him  : 39
him it  : 2
it unwound  : 1
unwound itself  : 1
itself and  : 2
and showed  : 6
way .  : 54
king went  : 6
went so  : 2
so often  : 7
often to  : 4
his dear  : 5
dear children  : 4
children that  : 4
that the  : 221
the queen  : 170
queen was  : 11
was offended  : 1
offended at  : 2
at his  : 39
his absence  : 1
absence .  : 2
she grew  : 6
grew curious  : 1
curious ,  : 2
and wanted  : 4
to know  : 42
what he  : 54
had to  : 125
to do  : 179
do quite  : 1
quite alone  : 3
alone in  : 15
she gave  : 29
gave his  : 7
his servants  : 4
servants a  : 1
great deal  : 30
deal of  : 15
of money  : 16
money ,  : 17
and they  : 161
they betrayed  : 1
betrayed the  : 1
the secret  : 8
secret to  : 3
and also  : 5
also told  : 4
told her  : 39
her of  : 5
the reel  : 3
reel which  : 1
which alone  : 1
alone could  : 1
could point  : 1
point out  : 2
out the  : 33
she had  : 320
no rest  : 3
rest now  : 1
now till  : 1
till she  : 23
had found  : 20
found out  : 15
out where  : 4
king guarded  : 1
guarded the  : 3
reel ,  : 1
and then  : 223
she made  : 20
made some  : 3
some little  : 6
little white  : 7
white shirts  : 1
shirts ,  : 1
and ,  : 148
as she  : 167
had learnt  : 3
learnt from  : 1
from her  : 42
her witch-mother  : 1
witch-mother ,  : 1
, sewed  : 2
sewed an  : 1
an enchantment  : 1
enchantment in  : 1
in each  : 6
each of  : 12
of them  : 126
them .  : 146
had ridden  : 3
ridden off  : 1
off she  : 2
took the  : 59
little shirts  : 1
shirts and  : 2
went into  : 33
into the  : 391
reel showed  : 1
showed her  : 1
her the  : 11
the children  : 49
, who  : 305
who saw  : 3
saw someone  : 1
someone coming  : 1
coming in  : 5
the distance  : 19
distance ,  : 12
, thought  : 3
thought it  : 42
was their  : 5
their dear  : 2
dear father  : 5
father coming  : 1
coming to  : 14
to them  : 46
them ,  : 144
and sprang  : 4
sprang to  : 5
to meet  : 26
meet him  : 6
him very  : 8
very joyfully  : 1
joyfully .  : 2
she threw  : 7
threw over  : 2
over each  : 3
each one  : 6
one a  : 1
little shirt  : 1
shirt ,  : 2
which when  : 1
it had  : 68
had touched  : 3
touched their  : 2
their bodies  : 2
bodies changed  : 1
changed them  : 1
them into  : 9
into swans  : 2
swans ,  : 2
they flew  : 7
flew away  : 14
away over  : 4
the forest  : 50
forest .  : 12
queen went  : 3
home quite  : 1
quite satisfied  : 2
satisfied ,  : 4
and thought  : 27
thought she  : 16
had got  : 26
got rid  : 2
rid of  : 12
of her  : 157
her step-children  : 1
step-children ;  : 1
the girl  : 91
girl had  : 5
not run  : 5
run to  : 2
meet her  : 4
her with  : 27
her brothers  : 6
brothers ,  : 18
she knew  : 39
knew nothing  : 2
nothing of  : 11
the next  : 105
next day  : 28
day the  : 19
king came  : 5
came to  : 134
to visit  : 13
visit his  : 1
his children  : 3
but he  : 203
he found  : 72
found no  : 5
one but  : 4
girl .  : 17
` where  : 19
where are  : 12
are your  : 3
your brothers  : 2
brothers ?  : 2
` alas  : 15
alas !  : 22
phi dear  : 5
father ,  : 30
she answered  : 15
answered ,  : 29
they have  : 34
have gone  : 12
gone away  : 6
away and  : 14
and left  : 29
left me  : 2
me all  : 6
all alone  : 12
she told  : 36
told him  : 76
him that  : 54
that looking  : 1
looking out  : 7
little window  : 2
window she  : 1
had seen  : 34
seen her  : 9
brothers flying  : 1
flying over  : 2
wood in  : 4
the shape  : 9
shape of  : 9
of swans  : 1
she showed  : 2
the feathers  : 2
feathers which  : 1
which they  : 14
they had  : 129
had let  : 2
let fall  : 3
fall in  : 3
the yard  : 12
yard ,  : 4
and which  : 5
which she  : 60
had collected  : 2
collected .  : 1
king mourned  : 1
mourned ,  : 1
he did  : 142
not think  : 13
think that  : 28
queen had  : 14
had done  : 34
done the  : 4
the wicked  : 26
wicked deed  : 1
deed ,  : 1
afraid the  : 2
maiden would  : 2
would also  : 1
also be  : 2
be taken  : 5
taken from  : 5
from him  : 22
he wanted  : 28
take her  : 8
with him  : 84
afraid of  : 30
the stepmother  : 1
stepmother ,  : 1
and begged  : 8
begged the  : 7
king to  : 10
to let  : 28
let her  : 14
her stay  : 1
stay just  : 1
just one  : 7
one night  : 16
night more  : 1
more in  : 6
the castle  : 58
castle in  : 2
poor maiden  : 1
maiden thought  : 1
thought ,  : 22
` my  : 20
my home  : 1
home is  : 1
is no  : 34
no longer  : 32
longer here  : 1
here ;  : 5
go and  : 31
and seek  : 2
seek my  : 1
my brothers  : 7
brothers .  : 5
when night  : 6
night came  : 9
came she  : 7
she fled  : 1
fled away  : 1
away into  : 6
she ran  : 17
ran all  : 3
all through  : 11
through the  : 169
the night  : 78
night and  : 20
day ,  : 63
, till  : 47
she could  : 126
could go  : 9
go no  : 4
no farther  : 2
farther for  : 1
for weariness  : 1
weariness .  : 2
she saw  : 40
saw a  : 41
little hut  : 7
hut ,  : 15
, went  : 12
went in  : 24
in ,  : 36
and found  : 31
found a  : 25
a room  : 8
room with  : 9
with six  : 2
six little  : 1
little beds  : 1
beds .  : 1
afraid to  : 4
to lie  : 13
lie down  : 12
down on  : 45
one ,  : 42
so she  : 58
she crept  : 6
crept under  : 3
under one  : 1
one of  : 152
, lay  : 9
lay on  : 5
the hard  : 5
hard floor  : 1
floor ,  : 15
and was  : 115
was going  : 57
going to  : 137
to spend  : 13
spend the  : 8
night there  : 7
sun had  : 3
had set  : 3
set she  : 1
she heard  : 35
heard a  : 40
a noise  : 7
noise ,  : 7
and saw  : 40
saw six  : 3
swans flying  : 2
flying in  : 7
in at  : 15
they stood  : 2
stood on  : 10
the floor  : 32
floor and  : 2
and blew  : 4
blew at  : 1
at one  : 14
one another  : 9
another ,  : 15
blew all  : 1
all their  : 12
their feathers  : 4
feathers off  : 1
and their  : 18
their swan-skin  : 1
swan-skin came  : 1
came off  : 1
off like  : 7
a shirt  : 1
shirt .  : 1
then the  : 136
maiden recognised  : 1
recognised her  : 3
and overjoyed  : 1
overjoyed she  : 1
crept out  : 5
out from  : 19
from under  : 6
the bed  : 19
bed .  : 18
phi her  : 55
brothers were  : 5
were not  : 25
not less  : 1
less delighted  : 1
delighted than  : 1
than she  : 12
she to  : 3
to see  : 204
see their  : 3
their little  : 5
little sister  : 8
sister again  : 1
again ,  : 126
but their  : 8
their joy  : 1
joy did  : 2
not last  : 3
last long  : 1
long .  : 22
you can  : 78
not stay  : 2
stay here  : 14
here ,  : 68
' they  : 7
they said  : 16
` this  : 18
this is  : 67
is a  : 117
a den  : 1
den of  : 1
of robbers  : 1
robbers ;  : 1
if they  : 52
they were  : 198
were to  : 27
to come  : 53
come here  : 18
here and  : 15
and find  : 12
find you  : 4
you they  : 1
they would  : 54
would kill  : 7
kill you  : 5
you .  : 118
` could  : 1
could you  : 3
not protect  : 1
protect me  : 1
me ?  : 24
sister .  : 6
` no  : 35
no ,  : 89
they answered  : 5
` for  : 19
for we  : 6
we can  : 25
can only  : 3
only lay  : 1
lay aside  : 1
aside our  : 1
our swan  : 1
swan skins  : 1
skins for  : 1
for a  : 215
a quarter  : 4
quarter of  : 5
of an  : 20
an hour  : 23
hour every  : 2
every evening  : 5
evening .  : 17
phi for  : 73
for this  : 26
time we  : 1
we regain  : 1
regain our  : 1
our human  : 1
human forms  : 1
forms ,  : 2
but then  : 15
then we  : 9
are changed  : 1
changed into  : 7
swans again  : 1
sister cried  : 1
cried and  : 4
not be  : 41
be freed  : 6
freed ?  : 1
, no  : 44
` the  : 46
the conditions  : 1
conditions are  : 1
are too  : 4
too hard  : 2
hard .  : 9
must not  : 20
not speak  : 10
speak or  : 2
or laugh  : 2
laugh for  : 1
for six  : 3
six years  : 2
and must  : 5
must make  : 6
make in  : 1
in that  : 31
that time  : 22
time six  : 1
six shirts  : 2
shirts for  : 1
for us  : 13
us out  : 2
of star-flowers  : 1
star-flowers .  : 1
phi if  : 129
if a  : 13
single word  : 4
word comes  : 1
comes out  : 4
of your  : 36
your mouth  : 4
mouth ,  : 18
, all  : 47
all your  : 5
your labour  : 1
labour is  : 1
is vain  : 1
vain .  : 4
the brothers  : 8
brothers had  : 3
had said  : 23
said this  : 12
this the  : 12
the quarter  : 1
hour came  : 1
to an  : 15
an end  : 16
end ,  : 14
away out  : 3
window as  : 1
as swans  : 1
swans .  : 1
maiden had  : 2
had determined  : 3
determined to  : 38
to free  : 6
free her  : 2
brothers even  : 1
even if  : 18
if it  : 62
it should  : 6
should cost  : 1
cost her  : 1
her her  : 2
her life  : 19
she left  : 8
left the  : 35
the hut  : 18
forest ,  : 30
, climbed  : 5
climbed a  : 3
a tree  : 28
tree ,  : 30
and spent  : 3
spent the  : 8
next morning  : 43
morning she  : 9
went out  : 36
, collected  : 1
collected star-flowers  : 1
star-flowers ,  : 1
and began  : 39
to sew  : 1
sew .  : 2
could speak  : 3
speak to  : 12
to no  : 5
no wish  : 2
wish to  : 28
to laugh  : 8
laugh ,  : 6
she sat  : 16
sat there  : 8
there ,  : 84
, looking  : 46
looking only  : 1
only at  : 2
her work  : 7
had lived  : 3
lived there  : 7
there some  : 1
some time  : 40
time ,  : 72
, it  : 150
it happened  : 12
happened that  : 10
king of  : 29
the country  : 30
country was  : 3
was hunting  : 2
and his  : 143
his hunters  : 1
hunters came  : 1
the tree  : 49
tree on  : 3
on which  : 26
which the  : 57
maiden sat  : 1
sat .  : 3
they called  : 8
called to  : 10
her and  : 35
said `  : 10
who are  : 22
are you  : 92
you ?  : 52
gave no  : 2
no answer  : 5
answer .  : 10
come down  : 14
down to  : 82
to us  : 8
us ,  : 27
` we  : 34
will do  : 19
you no  : 2
no harm  : 10
